Round, Max Amount, Rolls Played
860, 744, 3489,
861, 1375, 2653,
862, 532, 673,
863, 572, 753,
864, 769, 5762,
865, 769, 1420,
866, 810, 4047,
867, 937, 6134,
868, 1914, 19339,
869, 694, 2760,
870, 588, 2482,
871, 2223, 27407,
872, 1357, 10282,
873, 1139, 4320,
874, 4547, 104775,
875, 1230, 4830,
876, 5539, 157010,
877, 4267, 116600,
878, 720, 1218,
879, 811, 2713,
880, 552, 2971,
881, 2393, 28819,
882, 926, 8476,
883, 506, 1990,
884, 567, 1648,
885, 500, 944,
886, 889, 5104,
887, 1033, 3036,
888, 1446, 9198,
889, 881, 2785,
890, 709, 2119,
891, 4076, 46473,
892, 1042, 10511,
893, 685, 1135,
894, 612, 1148,
895, 856, 2305,
896, 966, 2626,
897, 954, 15115,
898, 656, 2195,
899, 1194, 8988,
900, 2012, 41848,
901, 1056, 2800,
902, 3972, 83854,
903, 1355, 14017,
904, 1243, 12763,
905, 948, 2429,
906, 647, 1058,
907, 4089, 52829,
908, 530, 1221,
909, 1068, 8943,
910, 2322, 43596,
911, 2637, 37063,
912, 758, 2251,
913, 2694, 121513,
914, 553, 603,
915, 923, 1550,
916, 557, 1448,
917, 1881, 31667,
918, 2072, 27261,
919, 694, 2752,
920, 551, 1044,
921, 861, 3949,
922, 825, 1615,
923, 2250, 26641,
924, 710, 2000,
925, 833, 1610,
926, 549, 1109,
927, 855, 1697,
928, 632, 1460,
929, 2133, 43548,
930, 772, 5876,
931, 697, 1694,
932, 624, 665,
933, 500, 1182,
934, 1128, 5205,
935, 2291, 29206,
936, 872, 3966,
937, 1016, 7493,
938, 1114, 7442,
939, 867, 1735,
940, 1359, 20341,
941, 7786, 265674,
942, 611, 729,
943, 3209, 63401,
944, 986, 4708,
945, 1199, 5005,
946, 555, 579,
947, 720, 1889,
948, 1474, 4761,
949, 1506, 10213,
950, 1521, 20856,
951, 1057, 5082,
952, 689, 1359,
953, 907, 7157,
954, 768, 5242,
955, 741, 1904,
956, 564, 1058,
957, 3928, 67149,
958, 1065, 3920,
959, 1030, 3839,
960, 699, 1142,
961, 591, 875,
962, 606, 1048,
963, 605, 4371,
964, 597, 2268,
965, 520, 1115,
966, 1048, 6900,
967, 873, 2937,
